"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2016","4","B","M","E","2606408","Gravatá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","500421.32","81893","Total de Despesas Intraorçamentária","2017-01-30T15:36:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2609204","Maraial","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1820391.38","11711","Total das Despesas Exceto Intra-Orçamentárias","2016-11-28T20:47:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2606804","Igarassu","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","874884.62","113956","Total de Despesas Intraorçamentária","2017-05-31T01:27:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2612455","Santa Cruz","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2907067.14","14857","Total das Despesas Exceto Intra-Orçamentárias","2017-01-30T19:23:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2300150","Acarape","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","228884.44","16418","Total de Despesas Intraorçamentária","2017-07-31T19:42:20Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2307700","Maranguape","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6662887.15","125058","Total das Despesas Exceto Intra-Orçamentárias","2017-03-29T20:24:35Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","6","B","M","E","2605202","Escada","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","8240594.77","66907","Total das Despesas Exceto Intra-Orçamentárias","2016-03-30T12:42:19Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2306009","Iracema","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1585484.7","14071","Total das Despesas Exceto Intra-Orçamentárias","2016-11-23T15:21:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2611606","Recife","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","21953968.08","1617183","Total de Despesas Intraorçamentária","2017-03-17T01:30:46Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2610202","Panelas","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4366842.41","26464","Total das Despesas Exceto Intra-Orçamentárias","2016-09-22T10:57:38Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2611101","Petrolina","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","20997559.02","337683","Total das Despesas Exceto Intra-Orçamentárias","2017-03-30T17:34:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2605608","Flores","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2182495.3","22599","Total das Despesas Exceto Intra-Orçamentárias","2015-09-25T13:13:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2612406","Sanharó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3541543.87","25521","Total das Despesas Exceto Intra-Orçamentárias","2018-03-27T00:02:09Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2608404","Jurema","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3370212.55","15229","Total das Despesas Exceto Intra-Orçamentárias","2018-11-26T13:14:15Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2304236","Croatá","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3994718.23","17728","Total das Despesas Exceto Intra-Orçamentárias","2017-03-08T21:21:14Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2306405","Itapipoca","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","19016176","126234","Total das Despesas Exceto Intra-Orçamentárias","2017-07-28T13:07:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2609808","Orocó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1956535.44","14261","Total das Despesas Exceto Intra-Orçamentárias","2015-07-31T01:58:57Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","1","B","M","E","2605707","Floresta","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","132280.35","31809","Total de Despesas Intraorçamentária","2016-04-01T19:36:55Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","5","B","M","E","2607208","Ipojuca","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","29182694.66","89660","Total das Despesas Exceto Intra-Orçamentárias","2015-11-30T13:59:01Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","6","B","M","E","2306405","Itapipoca","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","23706629.47","123613","Total das Despesas Exceto Intra-Orçamentárias","2016-01-29T18:16:22Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2605004","Cupira","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3203565.78","23909","Total das Despesas Exceto Intra-Orçamentárias","2018-03-25T13:20:48Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2604601","Condado","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4523205.24","25632","Total das Despesas Exceto Intra-Orçamentárias","2015-07-24T11:30:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2604601","Condado","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","474775.51","25823","Total de Despesas Intraorçamentária","2017-02-02T20:46:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2311207","Potengi","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1751638.39","10790","Total das Despesas Exceto Intra-Orçamentárias","2016-05-25T13:06:40Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","5","B","M","E","2305407","Icó","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","8198104.29","67045","Total das Despesas Exceto Intra-Orçamentárias","2015-12-03T13:11:35Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2605806","Frei Miguelinho","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1717206.66","15234","Total das Despesas Exceto Intra-Orçamentárias","2017-05-30T17:22:27Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2305357","Icapuí","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2504330.82","19276","Total das Despesas Exceto Intra-Orçamentárias","2015-05-29T19:24:29Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2611705","Riacho das Almas","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3607389.45","20177","Total das Despesas Exceto Intra-Orçamentárias","2017-03-25T21:39:58Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2306108","Irauçuba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2545689.56","24003","Total das Despesas Exceto Intra-Orçamentárias","2019-03-30T19:42:41Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2608909","Limoeiro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","588651.92","56203","Total de Despesas Intraorçamentária","2019-04-01T12:27:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2301802","Baixio","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1139055.53","6214","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T15:43:23Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2611903","Rio Formoso","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4982090.62","23282","Total das Despesas Exceto Intra-Orçamentárias","2018-01-27T15:32:35Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","6","B","M","E","2311306","Quixadá","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6260675.35","84684","Total das Despesas Exceto Intra-Orçamentárias","2016-03-15T18:54:52Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2609501","Nazaré da Mata","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5532949.69","32174","Total das Despesas Exceto Intra-Orçamentárias","2019-03-15T18:29:39Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","4","B","M","E","2310001","Palhano","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1006034.16","9248","Total das Despesas Exceto Intra-Orçamentárias","2018-09-28T14:41:20Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2610400","Parnamirim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2774991.1","21193","Total das Despesas Exceto Intra-Orçamentárias","2016-05-27T21:27:04Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","2","B","M","E","2312908","Sobral","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","23741092.68","203682","Total das Despesas Exceto Intra-Orçamentárias","2018-05-21T16:30:43Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2300903","Apuiarés","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2120640.9","14565","Total das Despesas Exceto Intra-Orçamentárias","2017-05-05T18:40:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2312601","São Luís do Curu","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1648055.09","12760","Total das Despesas Exceto Intra-Orçamentárias","2016-11-04T21:43:56Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","1","B","M","E","2305902","Ipueiras","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","468216.68","37957","Total de Despesas Intraorçamentária","2018-04-07T01:34:09Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2600203","Afrânio","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2046255.99","19456","Total das Despesas Exceto Intra-Orçamentárias","2019-03-30T15:03:34Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","5","B","M","E","2601706","Belo Jardim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","10235218.94","75729","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T02:00:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","6","B","M","E","2614303","Moreilândia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","215377.79","11240","Total de Despesas Intraorçamentária","2018-04-01T14:43:29Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","4","B","M","E","2612208","Salgueiro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6857443.13","60117","Total das Despesas Exceto Intra-Orçamentárias","2018-09-19T12:47:00Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","4","B","M","E","2600906","Amaraji","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","230864.35","22685","Total de Despesas Intraorçamentária","2018-09-29T13:43:42Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","4","B","M","E","2603454","Camaragibe","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","8338622.5","155228","Total das Despesas Exceto Intra-Orçamentárias","2018-09-30T22:32:13Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2311603","Redenção","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3056160.96","27358","Total das Despesas Exceto Intra-Orçamentárias","2017-08-09T19:05:44Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","3","B","M","E","2610004","Palmares","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5591363.63","62571","Total das Despesas Exceto Intra-Orçamentárias","2019-10-11T20:46:36Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2607653","Itambé","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3311807.55","36256","Total das Despesas Exceto Intra-Orçamentárias","2015-09-30T14:52:46Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2018","6","B","M","E","2603454","Camaragibe","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","15944828.14","155228","Total das Despesas Exceto Intra-Orçamentárias","2019-04-01T19:06:20Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2604106","Caruaru","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1636690.75","351686","Total de Despesas Intraorçamentária","2017-07-27T12:56:01Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","1","B","M","E","2311231","Potiretama","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","32814.25","6400","Total de Despesas Intraorçamentária","2019-04-01T19:13:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2019","2","B","M","E","2609105","Machados","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1784269.12","15851","Total das Despesas Exceto Intra-Orçamentárias","2019-05-28T14:28:41Z","##------ Sun Sep 20 09:30:05 2020 ------##"
